logradouro_1,logradouro_2,altura_numero,tipo_localidade,tipo_acidente,data,dia_semana,qtde_automovel,qtde_motocicleta,clima,longitude,latitude
LG VESPASIANO JULIO VEPPO,,0,Logradouro,COLISAO,2015-01-06T10:30:00,TERCA-FEIRA,1,0,BOM,-51.218406,-30.022473
PCA RUI BARBOSA,,0,Logradouro,COLISAO,2015-01-26T08:45:00,SEGUNDA-FEIRA,0,0,BOM,-51.224661,-30.025541
LG VESPASIANO JULIO VEPPO,,0,Logradouro,COLISAO,2015-02-09T17:30:00,SEGUNDA-FEIRA,2,0,BOM,-51.218406,-30.022473
PCA RUI BARBOSA,,0,Logradouro,ABALROAMENTO,2015-02-25T12:00:00,QUARTA-FEIRA,1,0,BOM,-51.224661,-30.025541
AV BENTO GONCALVES,,1520,Logradouro,ABALROAMENTO,2015-03-09T14:00:00,SEGUNDA-FEIRA,1,1,BOM,-51.198447,-30.054865
LG VESPASIANO JULIO VEPPO,,0,Logradouro,ABALROAMENTO,2015-03-12T15:30:00,QUINTA-FEIRA,1,0,BOM,-51.218406,-30.022473
AV FARRAPOS,R PROF SARMENTO BARATA,0,Cruzamento,CHOQUE,2015-03-20T05:00:00,SEXTA-FEIRA,1,0,NUBLADO,-51.193748,-29.996491
LG VESPASIANO JULIO VEPPO,,0,Logradouro,ABALROAMENTO,2015-03-29T11:30:00,DOMINGO,2,0,BOM,-51.218406,-30.022473
AV PROF OSCAR PEREIRA,,3450,Logradouro,ABALROAMENTO,2015-04-05T17:30:00,DOMINGO,1,1,BOM,-51.197833,-30.078603
AV PROF OSCAR PEREIRA,,400,Logradouro,ATROPELAMENTO,2015-04-26T19:15:00,DOMINGO,0,1,BOM,-51.210828,-30.054305
AV LOUREIRO DA SILVA,,1560,Logradouro,ATROPELAMENTO,2015-04-30T18:00:00,QUINTA-FEIRA,1,0,BOM,-51.226213,-30.036578
LG VESPASIANO JULIO VEPPO,,0,Logradouro,ABALROAMENTO,2015-05-17T15:00:00,DOMINGO,1,0,BOM,-51.218406,-30.022473
LG VESPASIANO JULIO VEPPO,,0,Logradouro,COLISAO,2015-05-19T12:10:00,TERCA-FEIRA,2,0,BOM,-51.218406,-30.022473
LG VESPASIANO JULIO VEPPO,,0,Logradouro,ABALROAMENTO,2015-06-19T16:45:00,SEXTA-FEIRA,1,0,BOM,-51.218406,-30.022473
PCA DOM FELICIANO,,0,Logradouro,ABALROAMENTO,2015-06-23T14:55:00,TERCA-FEIRA,0,0,BOM,-51.222703,-30.028749
PCA DOM FELICIANO,,0,Logradouro,ABALROAMENTO,2015-07-21T17:00:00,TERCA-FEIRA,1,1,BOM,-51.222703,-30.028749
R CARLOS ESTEVAO,,45,Logradouro,ATROPELAMENTO,2015-08-04T20:37:00,TERCA-FEIRA,1,0,BOM,-51.108085,-30.016555
LG VESPASIANO JULIO VEPPO,,0,Logradouro,CHOQUE,2015-08-07T10:00:00,SEXTA-FEIRA,1,0,CHUVOSO,-51.218406,-30.022473
